id,auteur,titre,date,genre,inspiration,structure,type,periode,taille,permalien
BOYER_PORCIEROMAINE_1646,"BOYER, Claude",LA PORCIE ROMAINE,1646,Tragédie,histoire romaine,Cinq actes,vers,1641-1650,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k715826
BOYER_ARISTODEME_1648,"BOYER, Claude",ARISTODÈME,1648,Tragédie,histoire grecque,Cinq actes,vers,1641-1650,1250-1500,http://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_MORTENFANTSBRUTE_1648,"BOYER, CLaude","LA MORT DES ENFANTS DE BRUTE, TRAGÉDIE.",1648,Tragédie,histoire romaine,Cinq actes,vers,1641-1650,1500-1750,
BOYER_PORUS_1648,"BOYER, Claude","PORUS OU LA GÉNÉROSITÉ D'ALEXANDRE, TRAGÉDIE.",1648,Tragédie,histoire grecque,Cinq actes,vers,1641-1650,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k117137b
BOYER_TIRIDATE_1649,"BOYER, Claude","TYRIDATE, TRAGÉDIE",1649,Tragédie,histoire romaine,Cinq actes,vers,1641-1650,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k72711g
BOYER_FEDERIC_1660,"BOYER, Claude","FÉDÉRIC, TRAGI-COMÉDIE",1660,Tragi-comédie,moeurs italiennes,Cinq actes,vers,1651-1660,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k1171346
BOYER_OROPASTE_1663,"BOYER, Claude",OROPASTE OU LE FAUX TONAXARE,1663,Tragédie,histoire orientale,Cinq actes,vers,1661-1670,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k83753v
BOYER_AMOURSJUPITERSEMELE_1666,"BOYER, Claude","LES AMOURS DE JUPITER ET DE SÉMÉLÉ, TRAGÉDIE",1666,Tragédie,mythe grec,"Cinq actes, un prologue",vers,1661-1670,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k83827k
BOYER_AGAMEMNON_1680,"BOYER, Claude","AGAMEMNON, TRAGÉDIE.",1680,Tragédie,mythe grec,Cinq actes,vers,1671-1680,1500-1750,
BOYER_ARTAXERCE_1683,"BOYER, Claude","ARTAXERCE, TRAGÉDIE",1683,Tragédie,histoire perse,Cinq actes,vers,1681-1690,1500-1750,
BOYER_JUDITH_1695,"BOYER, Claude","JUDITH, TRAGÉDIE",1695,Tragédie,bible,Cinq actes,vers,1691-1700,1250-1500,http://www.crht.org/matrice/wp-content/uploads/2007/09/judith.pdf
CORNEILLEP_VEUVE34_1634,"CORNEILLE, Pierre","LA VEUVE OU LE TRAÎTRE TRAHI, COMÉDIE",1634,Comédie,moeurs françaises,Cinq actes,vers,1631-1640,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k713683
CORNEILLEP_PLACEROYALE_1637,"CORNEILLE, Pierre","LA PLACE ROYALE ou L'AMOUREUX EXTRAVAGANT, COMÉDIE",1637,Comédie,moeurs françaises,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k72375m
CORNEILLEP_SUIVANTE_1637,"CORNEILLE, Pierre","LA SUIVANTE, COMÉDIE",1637,Comédie,moeurs françaises,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k70389t
CORNEILLEP_GALERIEDUPALAIS_1637,"CORNEILLE, Pierre",LA GALERIE DU PALAIS ou L'AMIE RIVALE,1637,Comédie,moeurs françaises,Cinq actes,vers,1631-1640,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k704088
