,Source,Target,Weight,Type
1,BOYER_AGAMEMNON,BOYER_ARISTODEME,24,undirected
2,BOYER_AGAMEMNON,MOLIERE_AMPHITRYON,4,undirected
3,BOYER_AGAMEMNON,RACINE_BERENICE,6,undirected
4,BOYER_AGAMEMNON,RACINE_ESTHER,10,undirected
5,BOYER_AGAMEMNON,RACINE_IPHIGENIE,36,undirected
6,BOYER_AMOURSJUPITERSEMELE,CORNEILLEP_ANDROMEDE,25,undirected
7,BOYER_AMOURSJUPITERSEMELE,CORNEILLEP_ILLUSIONCOMIQUE,25,undirected
8,BOYER_AMOURSJUPITERSEMELE,DURYER_CLITOPHON,9,undirected
9,BOYER_AMOURSJUPITERSEMELE,DURYER_DYNAMIS,8,undirected
10,BOYER_AMOURSJUPITERSEMELE,DURYER_ESTHER,1,undirected
11,BOYER_AMOURSJUPITERSEMELE,MOLIERE_DOMGARCIEDENAVARRE,1,undirected
12,BOYER_ARISTODEME,BOYER_AGAMEMNON,24,undirected
13,BOYER_ARISTODEME,CORNEILLET_GEOLIERDESOISMEME,4,undirected
14,BOYER_ARISTODEME,DURYER_CLARIGENE,26,undirected
15,BOYER_ARISTODEME,DURYER_CLITOPHON,30,undirected
16,BOYER_ARISTODEME,DURYER_DYNAMIS,26,undirected
17,BOYER_ARISTODEME,DURYER_ESTHER,24,undirected
18,BOYER_ARTAXERCE,CORNEILLEP_CID,22,undirected
19,BOYER_ARTAXERCE,CORNEILLET_BRADAMANTE,20,undirected
20,BOYER_ARTAXERCE,CORNEILLET_GEOLIERDESOISMEME,28,undirected
21,BOYER_ARTAXERCE,ROTROU_COSROES,10,undirected
22,BOYER_ARTAXERCE,ROTROU_DEUXPUCELLES,10,undirected
23,BOYER_ARTAXERCE,ROTROU_DOMBERNARDDECABRERE,30,undirected
24,CORNEILLEP_ANDROMEDE,BOYER_AMOURSJUPITERSEMELE,25,undirected
25,CORNEILLEP_ANDROMEDE,CORNEILLEP_ILLUSIONCOMIQUE,34,undirected
26,CORNEILLEP_ANDROMEDE,CORNEILLEP_MEDEE,20,undirected
27,CORNEILLEP_ANDROMEDE,MOLIERE_DOMGARCIEDENAVARRE,40,undirected
28,CORNEILLEP_ANDROMEDE,SCUDERY_MORTDECESAR,10,undirected
29,CORNEILLEP_CID,BOYER_ARTAXERCE,22,undirected
30,CORNEILLEP_CID,CORNEILLEP_ILLUSIONCOMIQUE,48,undirected
31,CORNEILLEP_CID,CORNEILLEP_MEDEE,60,undirected
32,CORNEILLEP_CID,MOLIERE_AMPHITRYON,4,undirected
33,CORNEILLEP_CID,ROTROU_HERCULEMOURANT,26,undirected
34,CORNEILLEP_CID,SCUDERY_PRINCEDEGUISE,5,undirected
35,CORNEILLEP_ILLUSIONCOMIQUE,BOYER_AMOURSJUPITERSEMELE,25,undirected
36,CORNEILLEP_ILLUSIONCOMIQUE,CORNEILLEP_ANDROMEDE,34,undirected
37,CORNEILLEP_ILLUSIONCOMIQUE,CORNEILLEP_CID,48,undirected
38,CORNEILLEP_ILLUSIONCOMIQUE,CORNEILLEP_MEDEE,38,undirected
39,CORNEILLEP_ILLUSIONCOMIQUE,DURYER_CLITOPHON,8,undirected
40,CORNEILLEP_ILLUSIONCOMIQUE,MOLIERE_AMPHITRYON,28,undirected
41,CORNEILLEP_ILLUSIONCOMIQUE,MOLIERE_DOMGARCIEDENAVARRE,10,undirected
42,CORNEILLEP_ILLUSIONCOMIQUE,SCARRON_DOMJAPHETDARMENIE,4,undirected
43,CORNEILLEP_MEDEE,CORNEILLEP_ANDROMEDE,20,undirected
44,CORNEILLEP_MEDEE,CORNEILLEP_CID,60,undirected
45,CORNEILLEP_MEDEE,CORNEILLEP_ILLUSIONCOMIQUE,38,undirected
46,CORNEILLEP_MEDEE,ROTROU_HERCULEMOURANT,24,undirected
47,CORNEILLEP_MEDEE,SCUDERY_PRINCEDEGUISE,16,undirected
48,CORNEILLET_AMOURALAMODE,CORNEILLET_ARIANE,17,undirected
49,CORNEILLET_AMOURALAMODE,CORNEILLET_BRADAMANTE,28,undirected
50,CORNEILLET_AMOURALAMODE,CORNEILLET_GEOLIERDESOISMEME,36,undirected
51,CORNEILLET_AMOURALAMODE,MOLIERE_TARTUFFE,19,undirected
52,CORNEILLET_AMOURALAMODE,SCARRON_ECOLIERDESALAMANQUE,2,undirected
53,CORNEILLET_ARIANE,CORNEILLET_AMOURALAMODE,17,undirected
