"BOYER_AGAMEMNON";"BOYER_AMOURSJUPITERSEMELE";"BOYER_ARISTODEME";"BOYER_ARTAXERCE";"CORNEILLEP_ANDROMEDE";"CORNEILLEP_CID";"CORNEILLEP_ILLUSIONCOMIQUE";"CORNEILLEP_MEDEE";"CORNEILLET_AMOURALAMODE";"CORNEILLET_ARIANE";"CORNEILLET_BRADAMANTE";"CORNEILLET_GEOLIERDESOISMEME";"DURYER_CLARIGENE";"DURYER_CLITOPHON";"DURYER_DYNAMIS";"DURYER_ESTHER";"MOLIERE_AMPHITRYON";"MOLIERE_DOMGARCIEDENAVARRE";"MOLIERE_MISANTHROPE";"MOLIERE_TARTUFFE";"RACINE_BERENICE";"RACINE_ESTHER";"RACINE_IPHIGENIE";"RACINE_PHEDRE";"ROTROU_COSROES";"ROTROU_DEUXPUCELLES";"ROTROU_DOMBERNARDDECABRERE";"ROTROU_HERCULEMOURANT";"SCARRON_DOMJAPHETDARMENIE";"SCARRON_ECOLIERDESALAMANQUE";"SCARRON_FAUSSEAPPARENCE";"SCARRON_GARDIENDESOIMEME";"SCUDERY_MORTDECESAR";"SCUDERY_ORANTE";"SCUDERY_PRINCEDEGUISE";"SCUDERY_VASSALGENEREUX"
",";1130;1300;862;1497;1242;1368;1111;1146;1512;1395;1082;1416;1032;589;1371;1276;1238;1298;1521;1466;1157;847;1289;1020;2987;2408;1771;1117;1138;1368;1241;1601;1146;1035;1353;1153
".";593;623;474;565;493;563;560;410;866;613;461;688;503;640;594;557;590;439;551;814;738;663;847;854;301;355;345;351;611;872;618;739;312;409;384;314
"de";447;599;321;456;521;466;504;487;470;437;328;428;308;537;442;462;478;507;539;538;385;334;451;404;473;518;547;378;424;423;409;438;400;274;417;346
"et";333;509;298;396;490;449;404;442;400;299;249;331;347;390;589;421;407;434;537;592;258;252;388;302;514;475;528;429;322;422;381;372;372;312;429;318
"que";270;318;230;259;302;277;275;274;327;326;230;304;338;392;409;345;313;392;344;345;286;170;319;205;205;348;255;219;218;313;334;307;262;301;327;323
"vous";217;370;187;267;294;172;252;160;501;368;322;333;243;119;252;267;224;340;517;606;335;109;400;243;367;181;247;64;273;344;308;287;134;205;148;284
"je";248;274;204;243;174;296;307;224;366;295;232;306;226;229;288;232;310;268;392;362;334;100;257;278;181;269;164;113;343;381;340;383;135;276;246;215
"le";212;320;205;263;288;268;220;178;219;260;196;300;246;278;373;369;212;218;251;268;203;258;259;235;309;241;280;229;280;242;217;349;299;294;289;305
"l'";199;306;194;247;285;292;231;206;310;309;219;322;232;301;315;254;215;267;241;271;220;195;249;223;319;246;322;158;223;220;252;270;217;259;240;237
"à";203;243;189;240;311;286;228;291;323;306;217;294;161;218;234;214;247;325;278;362;223;173;259;209;220;339;243;186;186;261;253;212;127;152;161;172
"un";214;391;163;243;239;265;245;210;227;202;172;264;248;236;335;297;212;295;220;269;139;145;197;226;253;186;264;185;216;226;207;255;156;182;174;191
"la";212;262;187;176;240;191;184;214;217;188;135;232;157;259;326;244;156;164;204;192;188;208;216;207;243;275;251;203;200;248;227;193;256;266;282;296
"est";168;272;131;177;233;203;192;144;371;234;154;284;222;170;281;236;240;206;276;292;92;138;146;141;158;232;167;131;210;225;220;245;205;256;195;189
"en";135;170;108;135;256;229;262;214;347;219;134;242;212;178;231;165;198;207;223;255;120;88;151;133;224;214;196;166;223;207;197;212;179;203;242;228
"d'";203;280;116;194;230;211;231;197;214;206;122;203;136;195;238;206;222;244;213;239;133;130;197;189;198;169;238;173;168;173;166;199;138;128;150;122
"il";95;192;157;163;208;194;225;127;256;287;198;238;183;152;254;210;168;221;227;290;137;128;134;120;166;153;125;143;186;225;168;231;170;222;205;159
"qu'";128;188;141;143;218;186;187;153;251;271;178;223;190;215;271;213;156;260;297;288;123;86;136;120;180;204;152;166;155;142;186;230;136;177;191;158
";";39;237;54;172;307;213;238;241;95;179;45;146;82;56;124;81;193;236;261;239;31;41;12;29;467;86;345;157;207;117;190;94;269;540;299;480
"?";174;200;127;193;117;136;139;127;265;187;118;204;127;185;208;151;309;97;216;225;283;157;297;242;103;154;80;148;214;173;232;193;100;0;119;75
"ce";142;260;135;146;197;163;152;116;166;207;139;190;168;154;194;129;189;202;164;186;130;111;120;97;141;203;138;210;101;91;115;166;125;133;161;125
"ne";74;122;114;115;114;155;152;119;178;166;113;134;139;137;139;123;176;166;231;234;156;61;142;136;136;181;126;105;142;174;194;197;122;145;134;148
"pour";137;236;146;162;159;151;166;119;205;216;145;150;144;116;174;178;124;138;193;191;105;71;113;84;152;99;130;51;85;109;143;111;97;97;97;75
"mon";173;160;121;176;86;230;128;169;125;139;122;141;101;121;145;119;124;173;94;136;112;48;106;120;149;195;128;119;129;167;141;106;65;188;151;128
"qui";73;177;105;97;165;123;101;88;119;139;99;117;142;163;177;196;136;158;124;132;81;99;174;95;163;188;165;114;97;105;151;138;126;117;168;125
"me";91;107;86;113;89;113;112;95;174;186;104;143;145;135;146;125;134;131;147;127;132;45;127;107;95;145;122;58;122;149;166;171;48;131;121;115
"les";147;130;97;86;210;104;171;122;56;92;65;79;95;164;136;194;122;132;142;130;86;159;168;150;142;109;141;103;90;73;70;112;129;115;104;122
"!";250;68;99;61;107;131;148;106;73;74;39;113;60;124;76;71;197;98;117;151;146;127;159;150;140;102;122;199;53;87;82;59;78;89;82;50
"si";91;142;136;101;126;148;105;102;135;125;82;146;121;130;189;136;74;115;92;80;81;41;86;78;111;137;141;80;80;99;108;93;79;64;86;92
"n'";70;103;46;82;140;121;125;109;148;128;101;117;100;97;105;80;117;135;154;156;95;51;92;104;103;101;88;70;100;123;122;104;91;98;81;102
"j'";109;124;61;113;66;96;112;72;190;145;88;114;85;75;128;81;84;95;105;110;102;49;87;129;124;103;97;52;114;125;112;121;34;91;77;46
"m'";82;69;72;100;72;108;92;89;163;147;123;128;77;71;73;81;109;117;89;96;95;41;111;95;106;112;107;52;118;114;147;110;53;63;74;80
"ma";117;165;89;117;70;164;102;127;92;166;86;114;62;75;69;79;58;83;61;88;83;41;145;72;100;139;90;94;81;119;87;84;41;88;88;60
"mais";97;114;72;107;77;91;76;54;137;106;80;131;100;87;120;131;66;104;113;104;53;31;70;63;87;99;89;61;66;93;118;107;57;80;90;72
"son";78;112;81;141;83;102;83;102;63;122;69;106;63;86;95;88;33;86;58;79;57;105;98;92;97;82;95;114;84;57;78;85;62;78;86;59
"plus";80;116;59;115;123;96;97;89;80;120;82;83;83;107;108;66;66;77;65;59;89;59;74;88;90;84;127;88;69;80;100;70;70;71;51;65
":";87;134;24;2;133;140;194;188;5;4;2;29;14;29;30;13;122;123;127;125;13;11;4;7;8;26;40;29;161;119;89;127;215;220;225;158
"des";125;137;63;64;120;65;86;82;36;32;37;33;80;134;92;150;83;88;99;83;72;94;94;85;94;111;120;80;59;45;66;67;86;62;59;83
"on";51;76;40;48;73;62;43;26;103;85;57;106;93;116;137;99;108;120;218;203;28;43;60;46;63;32;34;29;106;95;95;157;64;74;65;67
"a";54;62;57;64;100;135;84;66;64;80;93;72;73;98;91;37;77;109;88;78;44;58;65;103;76;69;81;72;82;70;67;80;70;91;74;83
"une";73;114;61;53;72;80;60;71;64;57;52;63;68;101;83;124;78;105;88;96;47;38;94;92;82;73;91;81;45;77;96;64;62;61;65;56
"pas";27;83;53;57;64;71;72;44;94;70;47;62;58;81;110;78;115;68;120;123;58;33;58;46;63;127;58;62;89;121;110;113;67;64;47;63
"votre";87;121;50;81;76;55;55;60;105;51;67;96;56;36;84;75;45;120;95;116;77;34;118;95;115;89;99;29;62;49;65;73;43;38;50;91
"par";83;86;103;94;71;50;51;44;63;96;66;75;70;47;107;127;58;94;58;70;39;48;70;48;75;67;88;44;48;48;47;59;38;38;43;39
"sa";63;95;60;85;70;96;60;96;68;93;58;73;36;58;55;69;33;57;35;49;58;64;68;71;61;66;83;105;54;46;45;48;43;76;54;65
"bien";33;59;24;31;57;64;65;47;104;38;22;76;56;86;62;73;79;82;87;122;36;6;17;17;45;66;49;18;130;105;91;124;65;75;66;79
"du";50;86;65;73;100;70;66;49;41;56;51;83;39;64;62;63;53;56;68;90;34;82;56;44;72;97;76;57;67;53;42;66;55;52;59;50
"tout";82;123;35;81;70;44;64;38;73;91;50;68;28;51;58;41;83;72;102;136;63;62;74;65;66;48;49;30;70;46;61;58;29;36;48;35
"dans";123;103;52;50;56;62;39;31;50;58;46;84;31;54;57;77;81;91;72;61;74;82;92;90;39;27;57;26;56;37;69;75;44;60;40;66
"s'";32;80;59;60;92;61;56;56;89;90;70;96;42;46;67;44;71;66;69;68;43;51;50;53;50;76;68;43;68;53;53;56;62;38;55;50
"moi";63;55;42;82;58;69;55;57;98;84;64;75;59;49;54;50;109;59;80;57;64;33;76;66;42;35;51;27;66;92;76;80;21;45;28;30
"au";52;75;44;56;92;74;59;45;59;53;41;62;41;74;61;62;51;73;48;74;41;42;42;54;63;91;69;41;45;61;33;59;57;61;52;48
"sans";35;72;39;50;55;76;55;61;83;68;53;52;41;74;70;49;45;61;55;61;63;29;54;32;47;56;68;34;51;78;68;60;40;67;49;49
"c'";41;92;46;53;81;45;60;47;118;96;35;106;53;45;74;77;67;71;81;95;20;28;48;29;27;29;27;22;55;60;61;51;40;36;33;30
"nous";21;53;84;34;92;36;49;37;41;19;18;64;77;104;76;57;78;42;50;65;31;46;76;21;58;58;80;21;44;83;36;78;77;41;57;61
"ai";51;55;27;59;22;63;68;48;78;81;49;54;37;41;66;41;55;52;65;73;75;29;45;90;75;56;54;48;47;76;50;56;25;50;35;26
"elle";53;55;33;43;88;39;26;55;94;101;46;45;46;69;31;46;13;35;52;57;62;16;61;36;42;71;36;53;61;43;105;64;43;86;69;41
"mes";85;53;35;53;41;54;54;73;41;48;36;47;45;75;52;60;18;72;31;40;75;50;66;95;55;97;53;59;24;35;36;28;22;58;33;30
"fait";34;64;32;48;67;62;72;57;54;60;64;56;39;63;64;35;67;77;54;56;28;22;32;22;34;56;57;36;63;63;39;63;38;46;41;44
"amour";56;108;43;70;51;54;55;47;91;121;64;40;55;75;95;57;24;46;32;18;51;9;42;35;26;58;48;13;41;22;40;17;18;67;45;38
"lui";26;60;44;64;75;43;54;42;55;80;48;56;54;38;44;57;28;43;58;78;52;50;58;38;53;38;44;29;47;41;46;47;34;47;46;46
"se";27;59;41;44;58;50;51;35;45;55;45;47;38;66;68;33;43;54;67;78;30;31;45;46;30;59;43;45;26;47;41;53;52;41;63;56
"point";29;24;31;26;43;74;51;49;66;41;39;48;37;36;23;34;54;77;83;108;59;23;57;64;38;53;32;30;41;36;27;49;42;63;58;44
"vos";55;61;23;43;56;33;43;32;38;38;27;37;32;31;53;79;27;95;64;57;72;50;86;47;61;46;67;30;14;20;21;25;18;30;21;30
"ses";55;42;41;33;61;27;54;55;22;40;32;29;42;58;32;48;22;57;32;40;71;60;52;83;32;37;59;71;9;12;29;27;24;46;32;29
"cette";32;69;42;24;51;45;40;39;33;40;16;38;47;46;50;52;56;71;45;48;42;21;36;15;39;74;51;61;22;17;48;31;34;30;49;30
"coeur";40;69;19;0;42;45;34;22;58;100;56;52;23;28;59;37;62;104;74;62;59;33;33;41;27;22;31;20;16;0;44;15;3;47;48;34
"tu";15;32;33;21;19;69;45;47;53;34;17;34;44;68;27;21;84;5;6;15;15;26;23;45;18;58;17;47;34;83;78;36;16;34;52;25
"sur";54;49;37;41;54;32;30;42;39;28;37;32;21;34;38;28;49;54;47;39;27;41;42;38;42;45;50;49;29;30;19;24;14;26;14;15
"ces";67;97;31;19;57;23;28;37;16;27;12;41;24;62;37;29;33;59;46;38;37;35;44;28;20;48;17;55;15;15;23;32;28;22;31;22
"où";30;20;24;20;38;28;44;24;24;42;32;30;55;51;49;44;42;38;39;37;30;26;36;29;25;59;40;26;31;41;39;23;24;30;36;26
"trop";57;53;21;44;32;68;43;26;42;71;26;51;16;10;26;20;36;69;40;41;31;12;35;44;31;32;28;26;17;30;34;23;19;20;24;17
"-vous";41;59;35;41;21;16;31;18;52;32;25;29;39;37;54;42;12;29;50;62;56;25;62;48;34;29;15;4;34;48;47;37;13;1;17;5
"peut";16;52;22;22;21;30;11;21;21;37;43;42;42;34;47;50;43;51;44;35;27;19;23;21;37;34;48;30;32;23;47;30;28;30;38;35
"avec";35;58;34;30;42;32;30;34;36;29;21;41;12;27;26;19;47;28;52;68;40;27;30;25;50;33;35;19;37;22;32;30;15;10;24;20
"faut";30;41;23;35;14;33;30;32;46;49;26;36;21;19;49;38;38;30;53;54;42;19;36;19;40;22;3;7;32;46;28;36;29;20;41;30
"tous";51;34;17;45;44;44;39;32;23;18;12;17;16;33;24;29;49;44;72;50;44;40;39;28;22;29;30;23;19;17;14;24;32;11;22;19
